event_date,run_date,ticker,session,run,impact_sum,conviction,above_floor,n_findings,n_clusters,hunters,priced_lean_pct,runup_20d_pct,runup_5d_pct,implied_move_pct,implied_basis,deadband_pct,hist_median_abs_move_pct,hist_n,baseline_quality,spot,dollar_vol_20d,entry_date,exit_date,move_pct,move_over_implied,sign_agreed,abs_error_pts,resolved
2026-09-03,2026-09-03,NX,amc,backtest/runs/edge-corpus/2026-09-03,-2.5,2.5,0,1,1,1,0.505,-10.11,-4.67,9.55,history_proxy,4.78,9.55,7,,18.76,5124106,2026-09-03,2026-09-04,22.23,2.328,0,24.73,1
2026-09-03,2026-09-03,DOCU,amc,backtest/runs/edge-corpus/2026-09-03,-3.15,3.15,1,3,3,1,-0.797,15.94,3.4,7.64,history_proxy,3.82,7.64,7,,65.97,208171634,2026-09-03,2026-09-04,3.7,0.484,0,6.85,1
2026-09-03,2026-09-03,ASAN,amc,backtest/runs/edge-corpus/2026-09-03,-1.65,1.65,0,3,2,1,-0.812,16.24,-0.79,15.62,history_proxy,7.81,15.62,7,,10.09,46853268,2026-09-03,2026-09-04,-12.69,-0.812,1,11.04,1
2026-09-03,2026-09-03,TTC,bmo,backtest/runs/edge-corpus/2026-09-03,-1.25,1.25,0,1,1,1,-0.012,0.23,-1.2,3.02,history_proxy,1.51,3.02,7,,99.15,62186384,2026-09-02,2026-09-03,-6.84,-2.265,1,5.59,1
2026-09-03,2026-09-03,LE,bmo,backtest/runs/edge-corpus/2026-09-03,2.25,2.25,0,3,2,1,0.594,-11.88,-7.47,9.02,history_proxy,4.51,9.02,7,,11.27,1892740,2026-09-02,2026-09-03,-3.99,-0.442,0,6.24,1
2026-09-03,2026-09-03,ZS,amc,backtest/runs/edge-corpus/2026-09-03,-8.0,8.0,1,3,2,1,-0.468,9.35,-5.07,9.79,history_proxy,4.89,9.79,7,,177.8,462594706,2026-09-03,2026-09-04,-4.5,-0.46,1,3.5,1
2026-09-03,2026-09-03,CLGN,bmo,backtest/runs/edge-corpus/2026-09-03,-8.5,8.5,1,3,2,1,-0.533,10.65,11.36,3.73,history_proxy,1.86,3.73,8,,3.43,3485007,2026-09-02,2026-09-03,-0.58,-0.155,1,7.92,1
2026-09-03,2026-09-03,PATH,amc,backtest/runs/edge-corpus/2026-09-03,-3.5,3.5,1,2,2,1,-1.507,30.14,-0.6,5.9,history_proxy,2.95,5.9,7,,18.22,1206848616,2026-09-03,2026-09-04,-16.63,-2.819,1,13.13,1
2026-09-03,2026-09-03,GCO,bmo,backtest/runs/edge-corpus/2026-09-03,-0.5,0.5,0,2,1,1,0.731,-14.62,-2.98,5.91,history_proxy,2.96,5.91,7,,33.52,7925134,2026-09-02,2026-09-03,2.74,0.464,0,3.24,1
2026-09-03,2026-09-03,LULU,amc,backtest/runs/edge-corpus/2026-09-03,-5.25,5.25,1,3,2,1,0.119,-2.37,5.89,14.19,history_proxy,7.09,14.19,7,,121.77,523979963,2026-09-03,2026-09-04,-17.38,-1.225,1,12.13,1
2026-09-03,2026-09-03,AMBR,bmo,backtest/runs/edge-corpus/2026-09-03,-9.0,9.0,1,2,2,1,1.357,-27.14,-5.12,3.91,history_proxy,1.96,3.91,4,,1.02,1114911,2026-09-02,2026-09-03,-7.84,-2.005,1,1.16,1
2026-09-03,2026-09-03,VSXY,bmo,backtest/runs/edge-corpus/2026-09-03,-4.25,4.25,1,2,1,1,0.281,-5.62,-6.59,9.93,history_proxy,4.96,9.93,8,,84.81,127463917,2026-09-02,2026-09-03,-13.17,-1.326,1,8.92,1
2026-09-03,2026-09-03,PDEX,amc,backtest/runs/edge-corpus/2026-09-03,-2.25,2.25,0,1,1,1,0.285,-5.7,-4.79,14.05,history_proxy,7.03,14.05,6,,61.75,4348126,2026-09-03,2026-09-04,18.88,1.344,0,21.13,1
2026-09-03,2026-09-03,GLMD,amc,backtest/runs/edge-corpus/2026-09-03,-7.25,7.25,1,2,1,1,0.91,-18.2,-8.96,4.83,history_proxy,2.42,4.83,8,,3.92,139630,,,,,,,0
