event_date,run_date,ticker,session,run,impact_sum,conviction,above_floor,n_findings,n_clusters,hunters,priced_lean_pct,runup_20d_pct,runup_5d_pct,implied_move_pct,implied_basis,deadband_pct,hist_median_abs_move_pct,hist_n,baseline_quality,spot,dollar_vol_20d,entry_date,exit_date,move_pct,move_over_implied,sign_agreed,abs_error_pts,resolved
2026-09-08,2026-09-07,GMHS,bmo,research/2026/09/2026-09-07/edge,-15.15,15.15,1,7,4,1,-0.306,6.12,11.95,4.19,history_proxy,2.1,4.19,8,,0.815,332732,2026-09-04,2026-09-08,-1.6,-0.382,1,13.55,1
2026-09-08,2026-09-08,TTAN,amc,research/2026/09/2026-09-08/edge,2.6,2.6,0,3,3,1,-2.591,-2.58,-13.66,10.08,straddle,3.47,6.94,7,,84.645,93920399,2026-09-08,2026-09-09,-29.98,-2.974,0,32.58,1
2026-09-09,2026-09-08,CNM,bmo,research/2026/09/2026-09-08/edge,2.85,2.85,0,4,3,1,-1.494,-5.1,2.28,9.22,straddle,2.24,4.48,7,,43.94,80871922,2026-09-08,2026-09-09,-5.58,-0.605,0,8.43,1
2026-09-09,2026-09-08,SUNB,bmo,research/2026/09/2026-09-08/edge,-0.1,0.1,0,2,2,1,1.635,-14.35,-6.56,9.76,straddle,2.83,5.67,2,,67.54,413729710,2026-09-08,2026-09-09,5.91,0.606,0,6.01,1
2026-09-09,2026-09-08,SIG,bmo,research/2026/09/2026-09-08/edge,0.1,0.1,0,3,3,1,6.804,-13.15,-0.27,10.11,straddle,4.68,9.37,8,,82.06,51410672,2026-09-08,2026-09-09,23.96,2.37,1,23.86,1
2026-09-08,2026-09-08,INNV,amc,research/2026/09/2026-09-08/edge,-2.1,2.1,0,3,2,1,0.298,-5.96,-5.09,9.08,history_proxy,4.54,9.08,7,,10.25,1799787,2026-09-08,2026-09-09,4.85,0.534,0,6.95,1
2026-09-09,2026-09-08,NNOX,bmo,research/2026/09/2026-09-08/edge,-5.25,5.25,1,4,3,1,0.927,-18.54,7.51,6.52,history_proxy,3.26,6.52,8,,0.8676,1176591,2026-09-08,2026-09-09,-16.13,-2.474,1,10.88,1
2026-09-09,2026-09-08,ODD,bmo,research/2026/09/2026-09-08/edge,-4.6,4.6,1,7,4,2,16.789,5.13,-7.43,20.74,straddle,3.12,6.25,8,,13.33,10049260,2026-09-08,2026-09-09,26.53,1.279,0,31.13,1
2026-09-08,2026-09-08,YQ,amc,research/2026/09/2026-09-08/edge,-26.25,26.25,1,8,2,2,-2.125,42.5,74.49,4.29,history_proxy,2.15,4.29,8,,3.42,539683,2026-09-08,2026-09-09,20.58,4.797,0,46.83,1
2026-09-09,2026-09-09,NAVN,amc,research/2026/09/2026-09-09/edge,10.0,10.0,1,6,3,2,-3.965,-7.19,-1.68,14.06,straddle,5.93,11.86,3,0.549,26.85,58118329,2026-09-09,2026-09-10,-21.9,-1.558,0,31.9,1
2026-09-10,2026-09-09,LOVE,bmo,research/2026/09/2026-09-09/edge,5.5,5.5,1,4,3,1,0.412,-8.24,5.01,16.07,history_proxy,8.04,16.07,7,0.65,16.15,2602718,2026-09-09,2026-09-10,-11.85,-0.737,0,17.35,1
2026-09-10,2026-09-09,VNCE,bmo,research/2026/09/2026-09-09/edge,4.5,4.5,1,3,2,1,-0.475,9.5,-2.46,11.9,history_proxy,5.95,11.9,7,0.4,6.34,624528,2026-09-09,2026-09-10,-20.06,-1.686,0,24.56,1
2026-09-10,2026-09-09,DBI,bmo,research/2026/09/2026-09-09/edge,3.0,3.0,1,4,4,1,0.838,-16.75,0.96,,,3.14,,0,0.0,5.27,2585473,2026-09-09,2026-09-10,12.27,,1,9.27,1
2026-09-09,2026-09-09,AVAV,amc,research/2026/09/2026-09-09/edge,2.5,2.5,0,3,3,1,9.205,-26.73,-0.38,11.87,straddle,3.48,6.95,7,0.851,143.627,179382511,2026-09-09,2026-09-10,6.0,0.505,1,3.5,1
2026-09-10,2026-09-09,FLWS,bmo,research/2026/09/2026-09-09/edge,2.5,2.5,0,4,2,1,0.594,-11.88,3.49,19.71,straddle,5.75,11.49,6,0.4,3.56,710651,2026-09-09,2026-09-10,-14.33,-0.727,0,16.83,1
2026-09-09,2026-09-09,COO,amc,research/2026/09/2026-09-09/edge,1.4,1.4,0,3,2,1,-0.336,-12.3,-2.76,8.72,straddle,3.29,6.57,7,0.774,67.37,108462129,2026-09-09,2026-09-10,-13.41,-1.538,0,14.81,1
2026-09-09,2026-09-09,CULP,amc,research/2026/09/2026-09-09/edge,1.4,1.4,0,4,1,1,0.029,-0.58,3.94,6.02,history_proxy,3.01,6.02,7,0.4,3.43,59768,2026-09-09,2026-09-10,7.16,1.189,1,5.76,1
